,path,label
0,/workspace/CK plus/CK+48/anger/S010_004_00000017.png,0.0
1,/workspace/CK plus/CK+48/anger/S010_004_00000018.png,0.0
2,/workspace/CK plus/CK+48/anger/S010_004_00000019.png,0.0
3,/workspace/CK plus/CK+48/anger/S011_004_00000019.png,0.0
4,/workspace/CK plus/CK+48/anger/S011_004_00000020.png,0.0
5,/workspace/CK plus/CK+48/anger/S011_004_00000021.png,0.0
6,/workspace/CK plus/CK+48/anger/S014_003_00000028.png,0.0
7,/workspace/CK plus/CK+48/anger/S014_003_00000029.png,0.0
8,/workspace/CK plus/CK+48/anger/S014_003_00000030.png,0.0
9,/workspace/CK plus/CK+48/anger/S022_005_00000030.png,0.0
10,/workspace/CK plus/CK+48/anger/S022_005_00000031.png,0.0
11,/workspace/CK plus/CK+48/anger/S022_005_00000032.png,0.0
12,/workspace/CK plus/CK+48/anger/S026_003_00000013.png,0.0
13,/workspace/CK plus/CK+48/anger/S026_003_00000014.png,0.0
14,/workspace/CK plus/CK+48/anger/S026_003_00000015.png,0.0
15,/workspace/CK plus/CK+48/anger/S028_001_00000022.png,0.0
16,/workspace/CK plus/CK+48/anger/S028_001_00000023.png,0.0
17,/workspace/CK plus/CK+48/anger/S028_001_00000024.png,0.0
18,/workspace/CK plus/CK+48/anger/S029_001_00000017.png,0.0
19,/workspace/CK plus/CK+48/anger/S029_001_00000018.png,0.0
20,/workspace/CK plus/CK+48/anger/S029_001_00000019.png,0.0
21,/workspace/CK plus/CK+48/anger/S032_003_00000015.png,0.0
22,/workspace/CK plus/CK+48/anger/S032_003_00000016.png,0.0
23,/workspace/CK plus/CK+48/anger/S032_003_00000017.png,0.0
24,/workspace/CK plus/CK+48/anger/S034_003_00000025.png,0.0
25,/workspace/CK plus/CK+48/anger/S034_003_00000026.png,0.0
26,/workspace/CK plus/CK+48/anger/S034_003_00000027.png,0.0
27,/workspace/CK plus/CK+48/anger/S037_003_00000020.png,0.0
28,/workspace/CK plus/CK+48/anger/S037_003_00000021.png,0.0
29,/workspace/CK plus/CK+48/anger/S037_003_00000022.png,0.0
30,/workspace/CK plus/CK+48/anger/S042_004_00000018.png,0.0
31,/workspace/CK plus/CK+48/anger/S042_004_00000019.png,0.0
32,/workspace/CK plus/CK+48/anger/S042_004_00000020.png,0.0
33,/workspace/CK plus/CK+48/anger/S045_005_00000028.png,0.0
34,/workspace/CK plus/CK+48/anger/S045_005_00000029.png,0.0
35,/workspace/CK plus/CK+48/anger/S045_005_00000030.png,0.0
36,/workspace/CK plus/CK+48/anger/S050_004_00000019.png,0.0
37,/workspace/CK plus/CK+48/anger/S050_004_00000020.png,0.0
38,/workspace/CK plus/CK+48/anger/S050_004_00000021.png,0.0
39,/workspace/CK plus/CK+48/anger/S055_004_00000026.png,0.0
40,/workspace/CK plus/CK+48/anger/S055_004_00000027.png,0.0
41,/workspace/CK plus/CK+48/anger/S055_004_00000028.png,0.0
42,/workspace/CK plus/CK+48/anger/S058_005_00000008.png,0.0
43,/workspace/CK plus/CK+48/anger/S058_005_00000009.png,0.0
44,/workspace/CK plus/CK+48/anger/S058_005_00000010.png,0.0
45,/workspace/CK plus/CK+48/anger/S066_005_00000009.png,0.0
46,/workspace/CK plus/CK+48/anger/S066_005_00000010.png,0.0
47,/workspace/CK plus/CK+48/anger/S066_005_00000011.png,0.0
48,/workspace/CK plus/CK+48/anger/S067_004_00000021.png,0.0
49,/workspace/CK plus/CK+48/anger/S067_004_00000022.png,0.0
50,/workspace/CK plus/CK+48/anger/S067_004_00000023.png,0.0
